

                                                                           1


             1   Q.     On page 1 line 2, item 1001, what happened next?
            15   Q.     On page 2 line 16, item 1021, what happened next?

            16   A.     Nothing unusual on page 2, ref 1021, about 6 minutes.

            17   Q.     On page 2 line 18, item 1022, what happened next?

            18   A.     Nothing unusual on page 2, ref 1022, about 7 minutes.

            19   Q.     On page 2 line 20, item 1023, what happened next?

            20   A.     Nothing unusual on page 2, ref 1023, about 8 minutes.

            21   Q.     On page 2 line 22, item 1024, what happened next?

            22   A.     Nothing unusual on page 2, ref 1024, about 9 minutes.

            23   Q.     On page 2 line 24, item 1025, what happened next?

            24   A.     Nothing unusual on page 2, ref 1025, about 10 minutes.

            25   Q.     On page 2 line 26, item 1026, what happened next?



                                                                           3


             1   Q.     On page 3 line 2, item 1027, what happened next?

             2   A.     Nothing unusual on page 3, ref 1027, about 13 minutes.

             3   Q.     On page 3 line 4, item 1028, what happened next?

             4   A.     Nothing unusual on page 3, ref 1028, about 14 minutes.

             5   Q.     On page 3 line 6, item 1029, what happened next?

             6   A.     Nothing unusual on page 3, ref 1029, about 15 minutes.

             7   Q.     On page 3 line 8, item 1030, what happened next?

             8   A.     Nothing unusual on page 3, ref 1030, about 16 minutes.

             9   Q.     On page 3 line 10, item 1031, what happened next?

            10   A.     Nothing unusual on page 3, ref 1031, about 0 minutes.

            11   Q.     On page 3 line 12, item 1032, what happened next?

            12   A.     Nothing unusual on page 3, ref 1032, about 1 minutes.

            13   Q.     On page 3 line 14, item 1033, what happened next?

            14   A.     Nothing unusual on page 3, ref 1033, about 2 minutes.

            15   Q.     On page 3 line 16, item 1034, what happened next?

            16   A.     Nothing unusual on page 3, ref 1034, about 3 minutes.

            17   Q.     On page 3 line 18, item 1035, what happened next?

            18   A.     Nothing unusual on page 3, ref 1035, about 4 minutes.

            19   Q.     On page 3 line 20, item 1036, what happened next?

            20   A.     Nothing unusual on page 3, ref 1036, about 5 minutes.

            21   Q.     On page 3 line 22, item 1037, what happened next?

            22   A.     Nothing unusual on page 3, ref 1037, about 6 minutes.

            23   Q.     On page 3 line 24, item 1038, what happened next?

            24   A.     Nothing unusual on page 3, ref 1038, about 7 minutes.

            25   Q.     On page 3 line 26, item 1039, what happened next?



                                                                           4


             1   Q.     On page 4 line 2, item 1040, what happened next?

             2   A.     Nothing unusual on page 4, ref 1040, about 10 minutes.

             3   Q.     On page 4 line 4, item 1041, what happened next?

             4   A.     Nothing unusual on page 4, ref 1041, about 11 minutes.

             5   Q.     On page 4 line 6, item 1042, what happened next?

             6   A.     Nothing unusual on page 4, ref 1042, about 12 minutes.

             7   Q.     On page 4 line 8, item 1043, what happened next?

             8   A.     Nothing unusual on page 4, ref 1043, about 13 minutes.

             9   Q.     On page 4 line 10, item 1044, what happened next?

            10   A.     Nothing unusual on page 4, ref 1044, about 14 minutes.

            11   Q.     On page 4 line 12, item 1045, what happened next?

            12   A.     Nothing unusual on page 4, ref 1045, about 15 minutes.

            13   Q.     On page 4 line 14, item 1046, what happened next?

            14   A.     Nothing unusual on page 4, ref 1046, about 16 minutes.

            15   Q.     On page 4 line 16, item 1047, what happened next?

            16   A.     Nothing unusual on page 4, ref 1047, about 0 minutes.

            17   Q.     On page 4 line 18, item 1048, what happened next?

            18   A.     Nothing unusual on page 4, ref 1048, about 1 minutes.

            19   Q.     On page 4 line 20, item 1049, what happened next?

            20   A.     Nothing unusual on page 4, ref 1049, about 2 minutes.

            21   Q.     On page 4 line 22, item 1050, what happened next?

            22   A.     Nothing unusual on page 4, ref 1050, about 3 minutes.

            23   Q.     On page 4 line 24, item 1051, what happened next?

            24   A.     Nothing unusual on page 4, ref 1051, about 4 minutes.

            25   Q.     On page 4 line 26, item 1052, what happened next?



                                                                           5


             1   Q.     On page 5 line 2, item 1053, what happened next?

             2   A.     Nothing unusual on page 5, ref 1053, about 7 minutes.

             3   Q.     On page 5 line 4, item 1054, what happened next?

             4   A.     Nothing unusual on page 5, ref 1054, about 8 minutes.

             5   Q.     On page 5 line 6, item 1055, what happened next?

             6   A.     Nothing unusual on page 5, ref 1055, about 9 minutes.

             7   Q.     On page 5 line 8, item 1056, what happened next?

             8   A.     Nothing unusual on page 5, ref 1056, about 10 minutes.

             9   Q.     On page 5 line 10, item 1057, what happened next?

            10   A.     Nothing unusual on page 5, ref 1057, about 11 minutes.

            11   Q.     On page 5 line 12, item 1058, what happened next?

            12   A.     Nothing unusual on page 5, ref 1058, about 12 minutes.

            13   Q.     On page 5 line 14, item 1059, what happened next?

            14   A.     Nothing unusual on page 5, ref 1059, about 13 minutes.

            15   Q.     On page 5 line 16, item 1060, what happened next?

            16   A.     Nothing unusual on page 5, ref 1060, about 14 minutes.

            17   Q.     On page 5 line 18, item 1061, what happened next?

            18   A.     Nothing unusual on page 5, ref 1061, about 15 minutes.

            19   Q.     On page 5 line 20, item 1062, what happened next?

            20   A.     Nothing unusual on page 5, ref 1062, about 16 minutes.

            21   Q.     On page 5 line 22, item 1063, what happened next?

            22   A.     Nothing unusual on page 5, ref 1063, about 0 minutes.

            23   Q.     On page 5 line 24, item 1064, what happened next?

            24   A.     Nothing unusual on page 5, ref 1064, about 1 minutes.

            25   Q.     On page 5 line 26, item 1065, what happened next?



                                                                           6


             1   Q.     On page 6 line 2, item 1066, what happened next?

             2   A.     Nothing unusual on page 6, ref 1066, about 4 minutes.

             3   Q.     On page 6 line 4, item 1067, what happened next?

             4   A.     Nothing unusual on page 6, ref 1067, about 5 minutes.

             5   Q.     On page 6 line 6, item 1068, what happened next?

             6   A.     Nothing unusual on page 6, ref 1068, about 6 minutes.

             7   Q.     On page 6 line 8, item 1069, what happened next?

             8   A.     Nothing unusual on page 6, ref 1069, about 7 minutes.

             9   Q.     On page 6 line 10, item 1070, what happened next?

            10   A.     Nothing unusual on page 6, ref 1070, about 8 minutes.

            11   Q.     On page 6 line 12, item 1071, what happened next?

            12   A.     Nothing unusual on page 6, ref 1071, about 9 minutes.

            13   Q.     On page 6 line 14, item 1072, what happened next?

            14   A.     Nothing unusual on page 6, ref 1072, about 10 minutes.

            15   Q.     On page 6 line 16, item 1073, what happened next?

            16   A.     Nothing unusual on page 6, ref 1073, about 11 minutes.

            17   Q.     On page 6 line 18, item 1074, what happened next?

            18   A.     Nothing unusual on page 6, ref 1074, about 12 minutes.

            19   Q.     On page 6 line 20, item 1075, what happened next?

            20   A.     Nothing unusual on page 6, ref 1075, about 13 minutes.

            21   Q.     On page 6 line 22, item 1076, what happened next?

            22   A.     Nothing unusual on page 6, ref 1076, about 14 minutes.

            23   Q.     On page 6 line 24, item 1077, what happened next?

            24   A.     Nothing unusual on page 6, ref 1077, about 15 minutes.

            25   Q.     On page 6 line 26, item 1078, what happened next?



                                                                           7


             1   Q.     On page 7 line 2, item 1079, what happened next?

             2   A.     Nothing unusual on page 7, ref 1079, about 1 minutes.

             3   Q.     On page 7 line 4, item 1080, what happened next?

             4   A.     Nothing unusual on page 7, ref 1080, about 2 minutes.

             5   Q.     On page 7 line 6, item 1081, what happened next?

             6   A.     Nothing unusual on page 7, ref 1081, about 3 minutes.

             7   Q.     On page 7 line 8, item 1082, what happened next?

             8   A.     Nothing unusual on page 7, ref 1082, about 4 minutes.

             9   Q.     On page 7 line 10, item 1083, what happened next?

            10   A.     Nothing unusual on page 7, ref 1083, about 5 minutes.

            11   Q.     On page 7 line 12, item 1084, what happened next?

            12   A.     Nothing unusual on page 7, ref 1084, about 6 minutes.

            13   Q.     On page 7 line 14, item 1085, what happened next?

            14   A.     Nothing unusual on page 7, ref 1085, about 7 minutes.

            15   Q.     On page 7 line 16, item 1086, what happened next?

            16   A.     Nothing unusual on page 7, ref 1086, about 8 minutes.

            17   Q.     On page 7 line 18, item 1087, what happened next?

            18   A.     Nothing unusual on page 7, ref 1087, about 9 minutes.

            19   Q.     On page 7 line 20, item 1088, what happened next?

            20   A.     Nothing unusual on page 7, ref 1088, about 10 minutes.

            21   Q.     On page 7 line 22, item 1089, what happened next?

            22   A.     Nothing unusual on page 7, ref 1089, about 11 minutes.

            23   Q.     On page 7 line 24, item 1090, what happened next?

            24   A.     Nothing unusual on page 7, ref 1090, about 12 minutes.

            25   Q.     On page 7 line 26, item 1091, what happened next?



                                                                           8


             1   Q.     On page 8 line 2, item 1092, what happened next?

             2   A.     Nothing unusual on page 8, ref 1092, about 15 minutes.

             3   Q.     On page 8 line 4, item 1093, what happened next?

             4   A.     Nothing unusual on page 8, ref 1093, about 16 minutes.

             5   Q.     On page 8 line 6, item 1094, what happened next?

             6   A.     Nothing unusual on page 8, ref 1094, about 0 minutes.

             7   Q.     On page 8 line 8, item 1095, what happened next?

             8   A.     Nothing unusual on page 8, ref 1095, about 1 minutes.

             9   Q.     On page 8 line 10, item 1096, what happened next?

            10   A.     Nothing unusual on page 8, ref 1096, about 2 minutes.

            11   Q.     On page 8 line 12, item 1097, what happened next?

            12   A.     Nothing unusual on page 8, ref 1097, about 3 minutes.

            13   Q.     On page 8 line 14, item 1098, what happened next?

            14   A.     Nothing unusual on page 8, ref 1098, about 4 minutes.

            15   Q.     On page 8 line 16, item 1099, what happened next?

            16   A.     Nothing unusual on page 8, ref 1099, about 5 minutes.

            17   Q.     On page 8 line 18, item 1100, what happened next?

            18   A.     Nothing unusual on page 8, ref 1100, about 6 minutes.

            19   Q.     On page 8 line 20, item 1101, what happened next?

            20   A.     Nothing unusual on page 8, ref 1101, about 7 minutes.

            21   Q.     On page 8 line 22, item 1102, what happened next?

            22   A.     Nothing unusual on page 8, ref 1102, about 8 minutes.

            23   Q.     On page 8 line 24, item 1103, what happened next?

            24   A.     Nothing unusual on page 8, ref 1103, about 9 minutes.

            25   Q.     On page 8 line 26, item 1104, what happened next?



                                                                           9


             1   Q.     On page 9 line 2, item 1105, what happened next?

             2   A.     Nothing unusual on page 9, ref 1105, about 12 minutes.

             3   Q.     On page 9 line 4, item 1106, what happened next?

             4   A.     Nothing unusual on page 9, ref 1106, about 13 minutes.

             5   Q.     On page 9 line 6, item 1107, what happened next?

             6   A.     Nothing unusual on page 9, ref 1107, about 14 minutes.

             7   Q.     On page 9 line 8, item 1108, what happened next?

             8   A.     Nothing unusual on page 9, ref 1108, about 15 minutes.

             9   Q.     On page 9 line 10, item 1109, what happened next?

            10   A.     Nothing unusual on page 9, ref 1109, about 16 minutes.

            11   Q.     On page 9 line 12, item 1110, what happened next?

            12   A.     Nothing unusual on page 9, ref 1110, about 0 minutes.

            13   Q.     On page 9 line 14, item 1111, what happened next?

            14   A.     Nothing unusual on page 9, ref 1111, about 1 minutes.

            15   Q.     On page 9 line 16, item 1112, what happened next?

            16   A.     Nothing unusual on page 9, ref 1112, about 2 minutes.

            17   Q.     On page 9 line 18, item 1113, what happened next?

            18   A.     Nothing unusual on page 9, ref 1113, about 3 minutes.

            19   Q.     On page 9 line 20, item 1114, what happened next?

            20   A.     Nothing unusual on page 9, ref 1114, about 4 minutes.

            21   Q.     On page 9 line 22, item 1115, what happened next?

            22   A.     Nothing unusual on page 9, ref 1115, about 5 minutes.

            23   Q.     On page 9 line 24, item 1116, what happened next?

            24   A.     Nothing unusual on page 9, ref 1116, about 6 minutes.

            25   Q.     On page 9 line 26, item 1117, what happened next?



                                                                           10


             1   Q.     On page 10 line 2, item 1118, what happened next?

             2   A.     Nothing unusual on page 10, ref 1118, about 9 minutes.

             3   Q.     On page 10 line 4, item 1119, what happened next?

             4   A.     Nothing unusual on page 10, ref 1119, about 10 minutes.

             5   Q.     On page 10 line 6, item 1120, what happened next?

             6   A.     Nothing unusual on page 10, ref 1120, about 11 minutes.

             7   Q.     On page 10 line 8, item 1121, what happened next?

             8   A.     Nothing unusual on page 10, ref 1121, about 12 minutes.

             9   Q.     On page 10 line 10, item 1122, what happened next?

            10   A.     Nothing unusual on page 10, ref 1122, about 13 minutes.

            11   Q.     On page 10 line 12, item 1123, what happened next?

            12   A.     Nothing unusual on page 10, ref 1123, about 14 minutes.

            13   Q.     On page 10 line 14, item 1124, what happened next?

            14   A.     Nothing unusual on page 10, ref 1124, about 15 minutes.

            15   Q.     On page 10 line 16, item 1125, what happened next?

            16   A.     Nothing unusual on page 10, ref 1125, about 16 minutes.

            17   Q.     On page 10 line 18, item 1126, what happened next?

            18   A.     Nothing unusual on page 10, ref 1126, about 0 minutes.

            19   Q.     On page 10 line 20, item 1127, what happened next?

            20   A.     Nothing unusual on page 10, ref 1127, about 1 minutes.

            21   Q.     On page 10 line 22, item 1128, what happened next?

            22   A.     Nothing unusual on page 10, ref 1128, about 2 minutes.

            23   Q.     On page 10 line 24, item 1129, what happened next?

            24   A.     Nothing unusual on page 10, ref 1129, about 3 minutes.

            25   Q.     On page 10 line 26, item 1130, what happened next?



                                                                           11


             1   Q.     On page 11 line 2, item 1131, what happened next?

             2   A.     Nothing unusual on page 11, ref 1131, about 6 minutes.

             3   Q.     On page 11 line 4, item 1132, what happened next?

             4   A.     Nothing unusual on page 11, ref 1132, about 7 minutes.

             5   Q.     On page 11 line 6, item 1133, what happened next?

             6   A.     Nothing unusual on page 11, ref 1133, about 8 minutes.

             7   Q.     On page 11 line 8, item 1134, what happened next?

             8   A.     Nothing unusual on page 11, ref 1134, about 9 minutes.

             9   Q.     On page 11 line 10, item 1135, what happened next?

            10   A.     Nothing unusual on page 11, ref 1135, about 10 minutes.

            11   Q.     On page 11 line 12, item 1136, what happened next?

            12   A.     Nothing unusual on page 11, ref 1136, about 11 minutes.

            13   Q.     On page 11 line 14, item 1137, what happened next?

            14   A.     Nothing unusual on page 11, ref 1137, about 12 minutes.

            15   Q.     On page 11 line 16, item 1138, what happened next?

            16   A.     Nothing unusual on page 11, ref 1138, about 13 minutes.

            17   Q.     On page 11 line 18, item 1139, what happened next?

            18   A.     Nothing unusual on page 11, ref 1139, about 14 minutes.

            19   Q.     On page 11 line 20, item 1140, what happened next?

            20   A.     Nothing unusual on page 11, ref 1140, about 15 minutes.

            21   Q.     On page 11 line 22, item 1141, what happened next?

            22   A.     Nothing unusual on page 11, ref 1141, about 16 minutes.

            23   Q.     On page 11 line 24, item 1142, what happened next?

            24   A.     Nothing unusual on page 11, ref 1142, about 0 minutes.

            25   Q.     On page 11 line 26, item 1143, what happened next?



                                                                           12


             1   Q.     On page 12 line 2, item 1144, what happened next?

             2   A.     Nothing unusual on page 12, ref 1144, about 3 minutes.

             3   Q.     On page 12 line 4, item 1145, what happened next?

             4   A.     Nothing unusual on page 12, ref 1145, about 4 minutes.

             5   Q.     On page 12 line 6, item 1146, what happened next?

             6   A.     Nothing unusual on page 12, ref 1146, about 5 minutes.

             7   Q.     On page 12 line 8, item 1147, what happened next?

             8   A.     Nothing unusual on page 12, ref 1147, about 6 minutes.

             9   Q.     On page 12 line 10, item 1148, what happened next?

            10   A.     Nothing unusual on page 12, ref 1148, about 7 minutes.

            11   Q.     On page 12 line 12, item 1149, what happened next?

            12   A.     Nothing unusual on page 12, ref 1149, about 8 minutes.

            13   Q.     On page 12 line 14, item 1150, what happened next?

            14   A.     Nothing unusual on page 12, ref 1150, about 9 minutes.

            15   Q.     On page 12 line 16, item 1151, what happened next?

            16   A.     Nothing unusual on page 12, ref 1151, about 10 minutes.

            17   Q.     On page 12 line 18, item 1152, what happened next?

            18   A.     Nothing unusual on page 12, ref 1152, about 11 minutes.

            19   Q.     On page 12 line 20, item 1153, what happened next?

            20   A.     Nothing unusual on page 12, ref 1153, about 12 minutes.

            21   Q.     On page 12 line 22, item 1154, what happened next?

            22   A.     Nothing unusual on page 12, ref 1154, about 13 minutes.

            23   Q.     On page 12 line 24, item 1155, what happened next?

            24   A.     Nothing unusual on page 12, ref 1155, about 14 minutes.

            25   Q.     On page 12 line 26, item 1156, what happened next?



                                                                           13


             1   Q.     On page 13 line 2, item 1157, what happened next?

             2   A.     Nothing unusual on page 13, ref 1157, about 0 minutes.

             3   Q.     On page 13 line 4, item 1158, what happened next?

             4   A.     Nothing unusual on page 13, ref 1158, about 1 minutes.

             5   Q.     On page 13 line 6, item 1159, what happened next?

             6   A.     Nothing unusual on page 13, ref 1159, about 2 minutes.

             7   Q.     On page 13 line 8, item 1160, what happened next?

             8   A.     Nothing unusual on page 13, ref 1160, about 3 minutes.

             9   Q.     On page 13 line 10, item 1161, what happened next?

            10   A.     Nothing unusual on page 13, ref 1161, about 4 minutes.

            11   Q.     On page 13 line 12, item 1162, what happened next?

            12   A.     Nothing unusual on page 13, ref 1162, about 5 minutes.

            13   Q.     On page 13 line 14, item 1163, what happened next?

            14   A.     Nothing unusual on page 13, ref 1163, about 6 minutes.

            15   Q.     On page 13 line 16, item 1164, what happened next?

            16   A.     Nothing unusual on page 13, ref 1164, about 7 minutes.

            17   Q.     On page 13 line 18, item 1165, what happened next?

            18   A.     Nothing unusual on page 13, ref 1165, about 8 minutes.

            19   Q.     On page 13 line 20, item 1166, what happened next?

            20   A.     Nothing unusual on page 13, ref 1166, about 9 minutes.

            21   Q.     On page 13 line 22, item 1167, what happened next?

            22   A.     Nothing unusual on page 13, ref 1167, about 10 minutes.

            23   Q.     On page 13 line 24, item 1168, what happened next?

            24   A.     Nothing unusual on page 13, ref 1168, about 11 minutes.

            25   Q.     On page 13 line 26, item 1169, what happened next?



                                                                           14


             1   Q.     On page 14 line 2, item 1170, what happened next?

             2   A.     Nothing unusual on page 14, ref 1170, about 14 minutes.

             3   Q.     On page 14 line 4, item 1171, what happened next?

             4   A.     Nothing unusual on page 14, ref 1171, about 15 minutes.

             5   Q.     On page 14 line 6, item 1172, what happened next?

             6   A.     Nothing unusual on page 14, ref 1172, about 16 minutes.

             7   Q.     On page 14 line 8, item 1173, what happened next?

             8   A.     Nothing unusual on page 14, ref 1173, about 0 minutes.

             9   Q.     On page 14 line 10, item 1174, what happened next?

            10   A.     Nothing unusual on page 14, ref 1174, about 1 minutes.

            11   Q.     On page 14 line 12, item 1175, what happened next?

            12   A.     Nothing unusual on page 14, ref 1175, about 2 minutes.

            13   Q.     On page 14 line 14, item 1176, what happened next?

            14   A.     Nothing unusual on page 14, ref 1176, about 3 minutes.

            15   Q.     On page 14 line 16, item 1177, what happened next?

            16   A.     Nothing unusual on page 14, ref 1177, about 4 minutes.

            17   Q.     On page 14 line 18, item 1178, what happened next?

            18   A.     Nothing unusual on page 14, ref 1178, about 5 minutes.

            19   Q.     On page 14 line 20, item 1179, what happened next?

            20   A.     Nothing unusual on page 14, ref 1179, about 6 minutes.

            21   Q.     On page 14 line 22, item 1180, what happened next?

            22   A.     Nothing unusual on page 14, ref 1180, about 7 minutes.

            23   Q.     On page 14 line 24, item 1181, what happened next?

            24   A.     Nothing unusual on page 14, ref 1181, about 8 minutes.

            25   Q.     On page 14 line 26, item 1182, what happened next?



                                                                           15


             1   Q.     On page 15 line 2, item 1183, what happened next?

             2   A.     Nothing unusual on page 15, ref 1183, about 11 minutes.

             3   Q.     On page 15 line 4, item 1184, what happened next?

             4   A.     Nothing unusual on page 15, ref 1184, about 12 minutes.

             5   Q.     On page 15 line 6, item 1185, what happened next?

             6   A.     Nothing unusual on page 15, ref 1185, about 13 minutes.

             7   Q.     On page 15 line 8, item 1186, what happened next?

             8   A.     Nothing unusual on page 15, ref 1186, about 14 minutes.

             9   Q.     On page 15 line 10, item 1187, what happened next?

            10   A.     Nothing unusual on page 15, ref 1187, about 15 minutes.

            11   Q.     On page 15 line 12, item 1188, what happened next?

            12   A.     Nothing unusual on page 15, ref 1188, about 16 minutes.

            13   Q.     On page 15 line 14, item 1189, what happened next?

            14   A.     Nothing unusual on page 15, ref 1189, about 0 minutes.

            15   Q.     On page 15 line 16, item 1190, what happened next?

            16   A.     Nothing unusual on page 15, ref 1190, about 1 minutes.

            17   Q.     On page 15 line 18, item 1191, what happened next?

            18   A.     Nothing unusual on page 15, ref 1191, about 2 minutes.

            19   Q.     On page 15 line 20, item 1192, what happened next?

            20   A.     Nothing unusual on page 15, ref 1192, about 3 minutes.

            21   Q.     On page 15 line 22, item 1193, what happened next?

            22   A.     Nothing unusual on page 15, ref 1193, about 4 minutes.

            23   Q.     On page 15 line 24, item 1194, what happened next?

            24   A.     Nothing unusual on page 15, ref 1194, about 5 minutes.

            25   Q.     On page 15 line 26, item 1195, what happened next?



                                                                           16






































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































